Date,Agency,SubAgency,RIN,FRDOC,SignatureDate,SignatoryName,SignatoryTitle,ImportantDates,Addresses,ContactforFurtherInfo,SubjectList,Agency2,Action,Summary
FR-2010-09-01.xml,"<AGENCY TYPE=""F"">DEPARTMENT OF AGRICULTURE</AGENCY>
","<SUBAGY>Office of the Secretary</SUBAGY>
",None,"<FRDOC>[FR Doc. 2010-21777 Filed 8-31-10; 8:45 am]</FRDOC>
","<DATED>Issued at Washington, DC, on August 11, 2010.</DATED>
","<NAME>Ronald Lord,</NAME>
","<TITLE>Licensing Authority.</TITLE>
",None,None,"<FURINF>
 <HD SOURCE=""HED"">FOR FURTHER INFORMATION CONTACT:</HD>
 
 <P>Abdelsalam El-Farra, Dairy Import Licensing Program, Import Policies and Export Reporting Division, U.S. Department of Agriculture, 1400 Independence Avenue, SW., Stop 1021, Washington, DC 20250-1021; or by telephone at (202) 720-9439; or by e-mail at:<E T=""03"">abdelsalam.el-farra@fas.usda.gov.</E>
 </P>
 </FURINF>
","<LSTSUB>
 <HD SOURCE=""HED"">List of Subjects in 7 CFR Part 6</HD>
 <P>Agricultural commodities, Cheese, Dairy products, Imports, Reporting and recordkeeping requirements.</P>
 </LSTSUB>
","['', '<P>Office of the Secretary, USDA.</P>\n']","['', '<P>Final rule.</P>\n']","['', '<P>This document sets forth the revised appendices to the Dairy Tariff-Rate Import Quota Licensing Regulation for the 2010 quota year reflecting the cumulative annual transfers from Appendix 1 to Appendix 2 for certain dairy product import licenses permanently surrendered by licensees or revoked by the Licensing Authority.</P>\n']"
FR-2010-09-01.xml,"<AGENCY TYPE=""N"">DEPARTMENT OF COMMERCE</AGENCY>
","<SUBAGY>National Oceanic and Atmospheric Administration</SUBAGY>
","<RIN>RIN 0648-AY20</RIN>
","<FRDOC>[FR Doc. 2010-21878 Filed 8-31-10; 8:45 am]</FRDOC>
","<DATED>Dated: August 19, 2010.</DATED>
","<NAME>Holly Bamford,</NAME>
","<TITLE>Acting Deputy Assistant Administrator for Ocean Services and Coastal Zone Management.</TITLE>
",None,None,"<FURINF>
 <HD SOURCE=""HED"">FOR FURTHER INFORMATION CONTACT:</HD>
 <P>John Armor, Office of National Marine Sanctuaries, 1305 East-West Highway, Silver Spring, MD 20910, or by phone at 301-713-3125.</P>
 </FURINF>
","<LSTSUB>
 <HD SOURCE=""HED"">List of Subjects in 15 CFR Part 922</HD>
 <P>Administrative practice and procedure, Boundary coordinates, Harbors, Motorized personal watercraft (MPWC), Recreation and recreation areas, Research, Seagrass protection, Water resources, Wildlife, Zones.</P>
 </LSTSUB>
","['', '<P>Office of National Marine Sanctuaries (ONMS), National Oceanic and Atmospheric Administration (NOAA), Department of Commerce (DOC).</P>\n']","['', '<P>Final rule; technical correction.</P>\n']","['', '<P>On November 20, 2008, the National Oceanic and Atmospheric Administration (NOAA) published a final rule in the<E T=""04"">Federal Register</E>for the Gulf of the Farallones, Monterey Bay and Cordell Bank national marine sanctuaries (referred to jointly as the joint management plan review or JMPR). Some sets of coordinates in that final rule contained technical errors or omissions that need to be corrected for the zones to be properly mapped. Other<PRTPAGE P=""53568""/>minor corrections are also included in this rule.</P>\n']"
FR-2010-09-01.xml,"<AGENCY TYPE=""N"">DEPARTMENT OF HOMELAND SECURITY</AGENCY>
","<SUBAGY>Coast Guard</SUBAGY>
","<RIN>RIN 1625-AA00</RIN>
","<FRDOC>[FR Doc. 2010-21779 Filed 8-31-10; 8:45 am]</FRDOC>
","<DATED>Dated: August 17, 2010.</DATED>
","<NAME>S.W. Bornemann,</NAME>
","<TITLE>Captain, U.S. Coast Guard, Captain of the Port, Puget Sound.</TITLE>
","<DATES>
 <HD SOURCE=""HED"">DATES:</HD>
 <P>This rule is effective from 8 a.m. until 8 p.m. on September 5th, 2010.</P>
 </DATES>
","<ADD>
 <HD SOURCE=""HED"">ADDRESSES:</HD>
 
 <P>Documents indicated in this preamble as being available in the docket are part of docket USCG-2010-0799 and are available online by going to<E T=""03"">http://www.regulations.gov,</E>inserting USCG-2010-0799 in the “Keyword” box, and then clicking “Search.” They are also available for inspection or copying at the Docket Management Facility (M-30), U.S. Department of Transportation, West Building Ground Floor, Room W12-140, 1200 New Jersey Avenue, SE., Washington, DC 20590, between 9 a.m. and 5 p.m., Monday through Friday, except Federal holidays.</P>
 </ADD>
","<FURINF>
 <HD SOURCE=""HED"">FOR FURTHER INFORMATION CONTACT:</HD>
 
 <P>If you have questions on this temporary rule, call or e-mail LTJG Ashley M. Wanzer, Sector Puget Sound, Waterways Management Division, Coast Guard; telephone 206-217-6175, e-mail<E T=""03"">SectorSeattleWWM@uscg.mil.</E>If you have questions on viewing the docket, call Renee V. Wright, Program Manager, Docket Operations, telephone 202-366-9826.</P>
 </FURINF>
","<LSTSUB>
 <HD SOURCE=""HED"">List of Subjects in 33 CFR Part 165</HD>
 <P>Harbors, Marine safety, Navigation (water), Reporting and recordkeeping requirements, Security measures, Waterways.</P>
 </LSTSUB>
","['', '<P>Coast Guard, DHS.</P>\n']","['', '<P>Temporary final rule.</P>\n']","['', '<P>The Coast Guard is establishing a temporary safety zone within the navigation channel in Budd Inlet, WA during Olympia Harbor Days tug boat races. This safety zone is necessary to restrict vessel movement during racing activity in order to ensure the safety of participants, spectators, and the maritime public. This action is intended to restrict vessel traffic movement on specified waters of the Budd Inlet, WA during Olympia Harbor Days tug boat races.</P>\n']"
FR-2010-09-01.xml,"<AGENCY TYPE=""S"">DEPARTMENT OF HOMELAND SECURITY</AGENCY>
","<SUBAGY>Coast Guard</SUBAGY>
","<RIN>RIN 1625-AA00</RIN>
","<FRDOC>[FR Doc. 2010-21781 Filed 8-31-10; 8:45 am]</FRDOC>
","<DATED>Dated: August 16, 2010.</DATED>
","<NAME>Mark P. O'Malley,</NAME>
","<TITLE>Captain, U.S. Coast Guard, Captain of the Port Baltimore.</TITLE>
",None,"<ADD>
 <HD SOURCE=""HED"">ADDRESSES:</HD>
 <P>You may submit comments identified by docket number USCG-2010-0776 using any one of the following methods:</P>
 <P>(1)<E T=""03"">Federal eRulemaking Portal: http://www.regulations.gov.</E>
 </P>
 <P>(2)<E T=""03"">Fax:</E>202-493-2251.</P>
 <P>(3)<E T=""03"">Mail:</E>Docket Management Facility (M-30), U.S. Department of Transportation, West Building Ground Floor, Room W12-140, 1200 New Jersey Avenue, SE., Washington, DC 20590-0001.</P>
 <P>(4)<E T=""03"">Hand Delivery:</E>Same as mail address above, between 9 a.m. and 5 p.m., Monday through Friday, except Federal holidays. The telephone number is 202-366-9329.</P>
 
 <P>To avoid duplication, please use only one of these four methods. See the “Public Participation and Request for Comments” portion of the<E T=""02"">SUPPLEMENTARY INFORMATION</E>section below for instructions on submitting comments.</P>
 </ADD>
","<FURINF>
 <HD SOURCE=""HED"">FOR FURTHER INFORMATION CONTACT:</HD>
 
 <P>If you have questions on this temporary interim rule, call or e-mail Ronald L. Houck, Sector Baltimore Waterways Management Division, Coast Guard; telephone 410-576-2674, e-mail<E T=""03"">Ronald.L.Houck@uscg.mil.</E>If you have questions on viewing or submitting material to the docket, call Renee V. Wright, Program Manager, Docket Operations, telephone 202-366-9826.</P>
 </FURINF>
","<LSTSUB>
 <HD SOURCE=""HED"">List of Subjects in 33 CFR Part 165</HD>
 <P>Harbors, Marine safety, Navigation (water), Reporting and recordkeeping requirements, Security measures, Waterways.</P>
 </LSTSUB>
","['', '<P>Coast Guard, DHS.</P>\n']","['', '<P>Temporary interim rule with request for comments.</P>\n']","['', '<P>The Coast Guard is establishing a safety zone upon specified waters of the Potomac River. This action is necessary to provide for the safety of life on navigable waters during five fireworks displays launched from a discharge barge located at National Harbor, in Prince Georges County, Maryland. This safety zone is intended to protect the maritime public in a portion of the Potomac River.</P>\n']"
FR-2010-09-01.xml,"<AGENCY TYPE=""N"">ENVIRONMENTAL PROTECTION AGENCY</AGENCY>
",None,None,"<FRDOC>[FR Doc. 2010-21544 Filed 8-31-10; 8:45 am]</FRDOC>
","<DATED>Dated: August 20, 2010.</DATED>
","<NAME>Lois Rossi,</NAME>
","<TITLE>Director, Registration Division, Office of Pesticide Programs.</TITLE>
","<DATES>
 <HD SOURCE=""HED"">DATES:</HD>
 
 <P>This regulation is effective September 1, 2010. Objections and requests for hearings must be received on or before November 1, 2010, and must be filed in accordance with the instructions provided in 40 CFR part 178 (see also Unit I.C. of the<E T=""02"">SUPPLEMENTARY INFORMATION</E>).</P>
 </DATES>
","<ADD>
 <HD SOURCE=""HED"">ADDRESSES:</HD>
 
 <P>EPA has established a docket for this action under docket identification (ID) number EPA-HQ-OPP-2010-0233. All documents in the docket are listed in the docket index available at<E T=""03"">http://www.regulations.gov</E>. Although listed in the index, some information is not publicly available, e.g., Confidential Business Information (CBI) or other information whose disclosure is restricted by statute. Certain other material, such as copyrighted material, is not placed on the Internet and will be publicly available only in hard copy form. Publicly available docket materials are available in the electronic docket at<E T=""03"">http://www.regulations.gov</E>, or, if only available in hard copy, at the OPP Regulatory Public Docket in Rm. S-4400, One Potomac Yard (South Bldg.), 2777 S. Crystal Dr., Arlington, VA. The Docket Facility is open from 8:30 a.m. to 4 p.m., Monday through Friday, excluding legal holidays. The Docket Facility telephone number is (703) 305-5805.</P>
 </ADD>
","<FURINF>
 <HD SOURCE=""HED"">FOR FURTHER INFORMATION CONTACT:</HD>
 
 <P>Mark Dow, Registration Division (7505P), Office of Pesticide Programs, Environmental Protection Agency, 1200 Pennsylvania Ave., NW., Washington, DC 20460-0001; telephone number: (703) 305-5533; e-mail address:<E T=""03"">dow.mark@epa.gov</E>.</P>
 </FURINF>
","<LSTSUB>
 <HD SOURCE=""HED"">List of Subjects in 40 CFR Part 180</HD>
 <P>Environmental protection, Administrative practice and procedure, Agricultural commodities, Pesticides and pests, Reporting and recordkeeping requirements.</P>
 </LSTSUB>
","['', '<P>Environmental Protection Agency (EPA).</P>\n']","['', '<P>Final rule.</P>\n']","['', '<P>This regulation establishes an exemption from the requirement of a tolerance for residues of choline hydroxide (CAS Reg. No. 123-41-1) when used as an inert ingredient that acts as a neutralizer in food use, acidic, preharvest herbicide products. The Dow AgroSciences, LLC, has submitted a petition to EPA under the Federal Food, Drug, and Cosmetic Act (FFDCA), requesting establishment of an exemption from the requirement of a tolerance. This regulation eliminates the need to establish a maximum permissible level for residues of choline hydroxide.</P>\n']"
FR-2010-09-01.xml,"<AGENCY TYPE=""S"">ENVIRONMENTAL PROTECTION AGENCY</AGENCY>
",None,None,"<FRDOC>[FR Doc. 2010-21686 Filed 8-31-10; 8:45 am]</FRDOC>
","<DATED>Dated: August 20, 2010.</DATED>
","<NAME>Lois Rossi,</NAME>
","<TITLE>Director, Registration Division, Office of Pesticide Program.</TITLE>
","<DATES>
 <HD SOURCE=""HED"">DATES:</HD>
 
 <P>This regulation is effective September 1, 2010. Objections and requests for hearings must be received on or before November 1, 2010, and must be filed in accordance with the instructions provided in 40 CFR part 178 (see also Unit I.C. of the<E T=""02"">SUPPLEMENTARY INFORMATION</E>).</P>
 </DATES>
","<ADD>
 <HD SOURCE=""HED"">ADDRESSES:</HD>
 
 <P>EPA has established a docket for this action under docket identification (ID) number EPA-HQ-OPP-2009-0682. All documents in the docket are listed in the docket index available at<E T=""03"">http://www.regulations.gov</E>. Although listed in the index, some information is not publicly available, e.g., Confidential Business Information (CBI) or other information whose disclosure is restricted by statute. Certain other material, such as copyrighted material, is not placed on the Internet and will be publicly available only in hard copy form. Publicly available docket materials are available in the electronic docket at<E T=""03"">http://www.regulations.gov</E>, or, if only available in hard copy, at the OPP Regulatory Public Docket in Rm. S-4400, One Potomac Yard (South Bldg.), 2777 S. Crystal Dr., Arlington, VA. The Docket Facility is open from 8:30 a.m. to 4 p.m., Monday through Friday, excluding legal holidays. The Docket Facility telephone number is (703) 305-5805.</P>
 </ADD>
","<FURINF>
 <HD SOURCE=""HED"">FOR FURTHER INFORMATION CONTACT:</HD>
 
 <P>Andrew Ertman, Registration Division, Office of Pesticide Programs, Environmental Protection Agency, 1200 Pennsylvania Ave., NW., Washington, DC 20460-0001; telephone number: (703) 308-9367; e-mail address:<E T=""03"">ertman.andrew@epa.gov</E>.</P>
 </FURINF>
","<LSTSUB>
 <HD SOURCE=""HED"">List of Subjects in 40 CFR Part 180</HD>
 <P>Environmental protection, Administrative practice and procedure, Agricultural commodities, Pesticides and pests, Reporting and recordkeeping requirements.</P>
 </LSTSUB>
","['', '<P>Environmental Protection Agency (EPA).</P>\n']","['', '<P>Final rule.</P>\n']","['', '<P>This regulation establishes tolerances for residues of spiromesifen in or on leaf petioles subgroup 4B, dry pea seed, spearmint tops, and peppermint tops. The Interregional Research Project Number 4 (IR-4) and Bayer CropScience requested these tolerances under the Federal Food, Drug, and Cosmetic Act (FFDCA).</P>\n']"
FR-2010-09-01.xml,"<AGENCY TYPE=""S"">ENVIRONMENTAL PROTECTION AGENCY</AGENCY>
",None,None,"<FRDOC>[FR Doc. 2010-21719 Filed 8-31-10; 8:45 am]</FRDOC>
","<DATED>Dated: August 20, 2010.</DATED>
","<NAME>Lois Rossi,</NAME>
","<TITLE>Director, Registration Division, Office of Pesticide Programs.</TITLE>
","<DATES>
 <HD SOURCE=""HED"">DATES:</HD>
 
 <P>This regulation is effective September 1, 2010. Objections and requests for hearings must be received on or before November 1, 2010, and must be filed in accordance with the instructions provided in 40 CFR part 178 (see also Unit I.C. of the<E T=""02"">SUPPLEMENTARY INFORMATION</E>).</P>
 </DATES>
","<ADD>
 <HD SOURCE=""HED"">ADDRESSES:</HD>
 
 <P>EPA has established a docket for this action under docket identification (ID) number EPA-HQ-OPP-2009-0890. All documents in the docket are listed in the docket index available at<E T=""03"">http://www.regulations.gov</E>. Although listed in the index, some information is not publicly available, e.g., Confidential Business Information (CBI) or other information whose disclosure is restricted by statute. Certain other material, such as copyrighted material, is not placed on the Internet and will be publicly available only in hard copy form. Publicly available docket materials are available in the electronic docket at<E T=""03"">http://www.regulations.gov</E>, or, if only available in hard copy, at the OPP Regulatory Public Docket in Rm. S-4400, One Potomac Yard (South Bldg.), 2777 S. Crystal Dr., Arlington, VA. The Docket Facility is open from 8:30 a.m. to 4 p.m., Monday through Friday, excluding legal holidays. The Docket Facility telephone number is (703) 305-5805.</P>
 </ADD>
","<FURINF>
 <HD SOURCE=""HED"">FOR FURTHER INFORMATION CONTACT:</HD>
 
 <P>Andrew Ertman, Registration Division (7505P), Office of Pesticide Programs, Environmental Protection Agency, 1200 Pennsylvania Ave., NW., Washington,<PRTPAGE P=""53587""/>DC 20460-0001; telephone number: (703) 308-9367; e-mail address:<E T=""03"">ertman.andrew@epa.gov</E>.</P>
 </FURINF>
","<LSTSUB>
 <HD SOURCE=""HED"">List of Subjects in 40 CFR Part 180</HD>
 <P>Environmental protection, Administrative practice and procedure, Agricultural commodities, Pesticides and pests, Reporting and recordkeeping requirements.</P>
 </LSTSUB>
","['', '<P>Environmental Protection Agency (EPA).</P>\n']","['', '<P>Final rule.</P>\n']","['', '<P>This regulation establishes tolerances for residues of bifenazate in or on multiple commodities which are identified and discussed later in this document. Interregional Research Project #4 (IR-4) requested these tolerances under the Federal Food, Drug, and Cosmetic Act (FFDCA). This regulation additionally deletes the time-limited tolerance for potato, as the tolerance expired on December 31, 2006, and deletes the time-limited tolerances for tart cherry, soybean hulls, soybean meal, soybean refined oil, and soybean seed, as the tolerances expired on December 31, 2009.</P>\n']"
FR-2010-09-01.xml,"<AGENCY TYPE=""N"">DEPARTMENT OF TRANSPORTATION</AGENCY>
","<SUBAGY>Pipeline and Hazardous Materials Safety Administration</SUBAGY>
","<RIN>RIN 2137-AE61</RIN>
","<FRDOC>[FR Doc. 2010-21759 Filed 8-31-10; 8:45 am]</FRDOC>
","<DATED>Issued in Washington, DC, on August 26, 2010 under authority delegated in 49 CFR part 1.</DATED>
","<NAME>Cynthia L. Quarterman,</NAME>
","<TITLE>Administrator, Pipeline and Hazardous Materials Safety Administration.</TITLE>
",None,None,"<FURINF>
 <HD SOURCE=""HED"">FOR FURTHER INFORMATION CONTACT:</HD>
 <P>Deborah Boothe, Office of Hazardous Materials Standards, 202-366-8553, PHMSA, East Building, PHH-10, 1200 New Jersey Avenue, SE., Washington, DC 20590.</P>
 </FURINF>
","<LSTSUB>
 <HD SOURCE=""HED"">List of Subjects</HD>
 <CFR>49 CFR Part 107</CFR>
 <P>Administrative practice and procedure, Hazardous materials transportation, Penalties, Reporting and recordkeeping requirements.</P>
 <CFR>49 CFR Part 171</CFR>
 <P>Exports, Hazardous materials transportation, Hazardous waste, Imports, Reporting and recordkeeping requirements.</P>
 <CFR>49 CFR Part 172</CFR>
 <P>Education, Hazardous materials transportation, Hazardous waste, Labeling, Packaging and containers, Reporting and recordkeeping requirements.</P>
 <CFR>49 CFR Part 173</CFR>
 
 <P>Hazardous materials transportation, Packaging and containers, Radioactive materials, Reporting and recordkeeping requirements, Uranium.<PRTPAGE P=""53596""/>
 </P>
 <CFR>49 CFR Part 176</CFR>
 <P>Hazardous materials transportation, Segregation, Handling and stowage, Maritime carriers.</P>
 <CFR>49 CFR Part 177</CFR>
 <P>Hazardous materials transportation, Loading and unloading, Segregation and separation.</P>
 <CFR>49 CFR Part 179</CFR>
 <P>Hazardous materials transportation, Rail car specifications.</P>
 <CFR>49 CFR Part 180</CFR>
 <P>Hazardous materials transportation, Motor carriers, Motor vehicle safety, Packaging and containers, Railroad safety, Reporting and recordkeeping requirements.</P>
 </LSTSUB>
","['', '<P>Pipeline and Hazardous Materials Safety Administration (PHMSA), DOT.</P>\n']","['', '<P>Final rule.</P>\n']","['', '<P>This final rule corrects editorial errors, makes minor regulatory changes and, in response to requests for clarification, improves the clarity of certain provisions in the Hazardous Materials Regulations. The intended effect of this rule is to enhance the accuracy and reduce misunderstandings of the regulations. The amendments contained in this rule are non-substantive changes and do not impose new requirements.</P>\n']"
FR-2010-09-01.xml,"<AGENCY TYPE=""N"">DEPARTMENT OF THE INTERIOR</AGENCY>
","<SUBAGY>Fish and Wildlife Service</SUBAGY>
","<RIN>RIN 1018-AW27</RIN>
","<FRDOC>[FR Doc. 2010-21861 Filed 8-31-10; 8:45 am]</FRDOC>
","<DATED>Dated: August 25, 2010.</DATED>
","<NAME>Will Shafroth,</NAME>
","<TITLE>Acting Assistant Secretary for Fish and Wildlife and Parks.</TITLE>
",None,None,"<FURINF>
 <HD SOURCE=""HED"">FOR FURTHER INFORMATION CONTACT:</HD>
 
 <P>George Jordan, Pallid Sturgeon Recovery Coordinator, 2900 4th Avenue North, Room 301, Billings, Montana 59101 (telephone (406) 247-7365; facsimile (406) 247-7364). Public comments and literature referenced in association with this rule are available at<E T=""03"">http://www.regulations.gov</E>at Docket No. FWS-R6-ES-2009-0027 and at the above office, by appointment, during normal business hours. Persons who use a telecommunications device for the deaf (TDD) may call the Federal Information Relay Service (FIRS) at 800/877-8339, 24 hours a day, 7 days a week.</P>
 </FURINF>
","<LSTSUB>
 <HD SOURCE=""HED"">List of Subjects in 50 CFR Part 17</HD>
 <P>Endangered and threatened species, Exports, Imports, Reporting and recordkeeping requirements, Transportation.</P>
 </LSTSUB>
","['', '<P>Fish and Wildlife Service, Interior.</P>\n']","['', '<P>Final rule.</P>\n']","['', '<P>We, the U.S. Fish and Wildlife Service, determine it necessary to treat shovelnose sturgeon (<E T=""03"">Scaphirhynchus platorynchus</E>) as threatened due to similarity of appearance to the endangered pallid sturgeon (<E T=""03"">Scaphirhynchus albus</E>) under the similarity of appearance provisions of the Endangered Species Act of 1973, as amended. The shovelnose sturgeon and the endangered pallid sturgeon are difficult to differentiate in the wild and inhabit overlapping portions of the Missouri and Mississippi River basins. Commercial harvest of shovelnose sturgeon has resulted in the documented take of pallid sturgeon where the two species coexist and is a threat to the pallid sturgeon. This determination to treat shovelnose sturgeon due to similarity of appearance will substantially facilitate law enforcement actions to protect and conserve pallid sturgeon. This rule extends take prohibitions to shovelnose sturgeon, shovelnose-pallid sturgeon hybrids, and their roe when associated with a commercial fishing activity in areas where pallid sturgeon and shovelnose sturgeon commonly coexist. Accidental or incidental capture of pallid or shovelnose sturgeon, or shovelnose-pallid sturgeon hybrids, in commercial fishing gear will not be considered take provided the sturgeon are immediately released to the wild at the point where taken with roe intact.</P>\n']"
FR-2010-09-01.xml,"<AGENCY TYPE=""N"">DEPARTMENT OF COMMERCE</AGENCY>
","<SUBAGY>National Oceanic and Atmospheric Administration</SUBAGY>
","<RIN>RIN 0648-XX15</RIN>
","<FRDOC>[FR Doc. 2010-21829 Filed 8-31-10; 8:45 am]</FRDOC>
","<DATED>Dated: August 27, 2010.</DATED>
","<NAME>Samuel D. Rauch III,</NAME>
","<TITLE>Deputy Assistant Administrator for Regulatory Programs, National Marine Fisheries Service.</TITLE>
","<DATES>
 <HD SOURCE=""HED"">DATES:</HD>
 <P>This final specification is effective October 1, 2010.</P>
 </DATES>
","<ADD>
 <HD SOURCE=""HED"">ADDRESSES:</HD>
 
 <P>Copies of the Fishery Ecosystem Plan for the Hawaiian Archipelago and associated Environmental Impact Statement are available from the Western Pacific Fishery Management Council (Council), 1164 Bishop St., Suite 1400, Honolulu, HI 96813, tel 808-522-8220, fax 808-522-8226, or<E T=""03"">www.wpcouncil.org</E>.</P>
 
 <P>A supplemental environmental assessment (EA), was prepared that describes the impact of this final specification on the human environment. Based on the environmental impact analysis presented in the EA, NMFS prepared a finding of no significant impact (FONSI). Copies of the EA and FONSI are available from<E T=""03"">www.regulations.gov</E>, or Michael D. Tosatto, Acting Regional Administrator, NMFS Pacific Islands Region (PIR), 1601 Kapiolani Blvd. 1110, Honolulu, HI 96814.</P>
 </ADD>
","<FURINF>
 <HD SOURCE=""HED"">FOR FURTHER INFORMATION CONTACT:</HD>
 <P>Jarad Makaiau, Sustainable Fisheries Division, NMFS PIR, 808-944-2108.</P>
 </FURINF>
",None,"['', '<P>National Marine Fisheries Service (NMFS), National Oceanic and Atmospheric Administration (NOAA), Commerce.</P>\n']","['', '<P>Final specification.</P>\n']","['', '<P>In this rule, NMFS specifies a total allowable catch (TAC) of 254,050 lb (115,235 kg) of Deep 7 bottomfish in the main Hawaiian Islands (MHI) for the 2010-11 fishing year. The expected impact of the TAC is long-term sustainability of Hawaii bottomfish.</P>\n']"
